,Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
29831,43379,12334806,JE184766,03/30/2021 09:00:00 PM,031XX W FILLMORE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,True,1134,11,24.0,29,14,1155657.0,1895206.0,2021,04/10/2021 05:02:10 PM,41.868242867,-87.704024334,"(41.868242867, -87.704024334)"
29998,43616,12330839,JE187894,04/02/2021 11:30:00 PM,037XX W 79TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,833,8,18.0,70,14,1152846.0,1851977.0,2021,04/09/2021 05:06:35 PM,41.749672534,-87.715485074,"(41.749672534, -87.715485074)"
32174,46840,12335635,JE193846,04/08/2021 09:43:00 AM,086XX S KINGSTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,423,4,7.0,46,11,1194661.0,1848187.0,2021,04/15/2021 05:38:17 PM,41.738346329,-87.562383475,"(41.738346329, -87.562383475)"
22832,33203,12313739,JE167081,03/12/2021 04:20:00 PM,021XX E 95TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,431,4,7.0,51,08B,1192317.0,1842399.0,2021,03/19/2021 04:51:13 PM,41.722520812,-87.571158974,"(41.722520812, -87.571158974)"
32328,47085,12335157,JE133109,04/08/2021 11:53:00 AM,014XX W 18TH ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESTAURANT,False,False,1233,12,25.0,31,04A,1166835.0,1891502.0,2021,04/15/2021 05:38:17 PM,41.857846576,-87.66309386399999,"(41.857846576, -87.663093864)"
278,392,12258900,JE100442,01/01/2021 11:19:00 AM,053XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,False,True,1522,15,29.0,25,08B,1140552.0,1899500.0,2021,01/16/2021 03:49:23 PM,41.880316641,-87.75937307299999,"(41.880316641, -87.759373073)"
26507,38503,12321427,JE176530,03/22/2021 11:34:00 AM,016XX N VINE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,1813,18,43.0,7,11,1171777.0,1911116.0,2021,03/29/2021 04:53:03 PM,41.911561373000005,-87.644375841,"(41.911561373, -87.644375841)"
26608,38663,12323669,JE179008,03/23/2021 09:00:00 AM,011XX N LEAMINGTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1531,15,37.0,25,11,1141824.0,1907019.0,2021,03/30/2021 04:51:43 PM,41.900926245,-87.754516118,"(41.900926245, -87.754516118)"
4386,6589,12269462,JE112748,01/14/2021 03:45:00 PM,014XX S PEORIA ST,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,False,1232,12,11.0,28,06,1170709.0,1893032.0,2021,01/21/2021 03:51:43 PM,41.861961153,-87.648829242,"(41.861961153, -87.648829242)"
7062,10502,12278045,JE122739,01/22/2021 12:30:00 AM,069XX W HIGGINS AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,1613,16,41.0,10,08B,1128806.0,1935739.0,2021,01/29/2021 03:46:26 PM,41.979968398,-87.801678853,"(41.979968398, -87.801678853)"
12442,18094,12289686,JE137342,02/09/2021 07:32:00 PM,0000X W 79TH ST,0560,ASSAULT,SIMPLE,RESTAURANT,False,False,623,6,17.0,44,08A,1177187.0,1852624.0,2021,02/16/2021 03:52:33 PM,41.750933717,-87.626270055,"(41.750933717, -87.626270055)"
5874,8786,12273384,JE117285,01/19/2021 03:00:00 PM,059XX N KENMORE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,2433,24,48.0,77,11,1168161.0,1939852.0,2021,01/26/2021 03:51:22 PM,41.990493052,-87.656826515,"(41.990493052, -87.656826515)"
29121,42370,12329053,JE185619,03/30/2021 04:00:00 PM,051XX S WOOD ST,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,False,False,932,9,16.0,61,04A,1165214.0,1870708.0,2021,04/06/2021 05:03:58 PM,41.800820216,-87.66963357600001,"(41.800820216, -87.669633576)"
33535,48854,12338712,JE197478,04/12/2021 04:51:00 PM,122XX S EGGLESTON AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,523,5,34.0,53,04B,1175510.0,1823646.0,2021,04/19/2021 05:20:48 PM,41.671451645,-87.633278707,"(41.671451645, -87.633278707)"
10355,15076,12282671,JE128427,01/31/2021 03:00:00 AM,014XX N LOREL AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2532,25,37.0,25,06,1140424.0,1909137.0,2021,02/07/2021 03:46:17 PM,41.906764089,-87.759606463,"(41.906764089, -87.759606463)"
17467,25308,12301256,JE152131,02/25/2021 02:30:00 PM,015XX W WARREN BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1224,12,27.0,28,08B,1165833.0,1900435.0,2021,03/04/2021 03:52:04 PM,41.882380888,-87.666517086,"(41.882380888, -87.666517086)"
26369,38322,12321412,JE176403,03/22/2021 09:00:00 AM,069XX W HIGGINS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1613,16,41.0,10,11,1128808.0,1935738.0,2021,03/29/2021 04:53:03 PM,41.97996562,-87.80167152,"(41.97996562, -87.80167152)"
25488,37039,12323179,JE178638,03/10/2021 06:07:00 AM,019XX W SUMMERDALE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2012,20,40.0,4,06,1162607.0,1935545.0,2021,03/26/2021 04:58:11 PM,41.978793065,-87.67737662299999,"(41.978793065, -87.677376623)"
14082,20447,12293960,JE141321,02/14/2021 07:00:00 AM,002XX E 121ST PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,532,5,9.0,53,08B,1180007.0,1824447.0,2021,02/21/2021 03:48:47 PM,41.673548279,-87.616795523,"(41.673548279, -87.616795523)"
2177,3261,12259706,JE101289,01/01/2021 07:00:00 PM,114XX S ROCKWELL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2212,22,19.0,75,08B,1161061.0,1828585.0,2021,01/16/2021 03:49:23 PM,41.685315132,-87.686026111,"(41.685315132, -87.686026111)"
22757,33096,12313566,JE166342,03/11/2021 08:40:00 PM,008XX N MICHIGAN AVE,0820,THEFT,$500 AND UNDER,CTA BUS,False,False,1833,18,42.0,8,06,1177331.0,1906471.0,2021,03/18/2021 04:52:21 PM,41.89869106,-87.62411351,"(41.89869106, -87.62411351)"
22981,33411,12313329,JE166514,03/12/2021 05:15:00 AM,048XX S TRIPP AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,815,8,14.0,57,04A,1148845.0,1872153.0,2021,03/19/2021 04:51:13 PM,41.805116663,-87.729627582,"(41.805116663, -87.729627582)"
4227,6345,12273389,JE117342,01/01/2021 07:00:00 PM,021XX N NATCHEZ AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,2512,25,29.0,19,06,1132731.0,1913682.0,2021,01/21/2021 03:49:12 PM,41.919373857,-87.787760296,"(41.919373857, -87.787760296)"
3862,5828,12270327,JE113700,01/05/2021 03:00:00 PM,001XX W 112TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,522,5,34.0,49,11,1177315.0,1830687.0,2021,01/20/2021 03:51:20 PM,41.69073279,-87.626461055,"(41.69073279, -87.626461055)"
19774,28629,12306769,JE158713,03/03/2021 08:00:00 PM,053XX N DELPHIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1614,16,41.0,76,14,1117975.0,1934173.0,2021,03/10/2021 03:48:52 PM,41.975848671,-87.841545175,"(41.975848671, -87.841545175)"
15483,22459,12296561,JE146388,02/19/2021 07:15:00 PM,015XX W VICTORIA ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,False,False,2013,20,48.0,77,04A,1165008.0,1938611.0,2021,02/26/2021 03:47:53 PM,41.987155473,-87.66845933399999,"(41.987155473, -87.668459334)"
33946,49467,12339617,JE198592,04/13/2021 06:11:00 PM,007XX S KENNETH AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,1131,11,24.0,26,08A,1146801.0,1896500.0,2021,04/20/2021 04:49:35 PM,41.871967313,-87.73650375,"(41.871967313, -87.73650375)"
22794,33152,12317381,JE171614,03/11/2021 01:48:00 PM,080XX S SAGINAW AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,422,4,7.0,46,06,1195239.0,1852238.0,2021,03/19/2021 04:48:59 PM,41.749448372,-87.56013249899999,"(41.749448372, -87.560132499)"
13156,19122,12292158,JE140542,01/05/2021 12:00:00 AM,006XX W 25TH PL,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,914,9,11.0,60,11,1172560.0,1887337.0,2021,02/19/2021 03:45:56 PM,41.84629293,-87.642202831,"(41.84629293, -87.642202831)"
20613,29905,12312082,JE164940,03/05/2021 04:00:00 PM,065XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,312,3,20.0,69,08B,1180045.0,1861762.0,2021,03/12/2021 03:54:10 PM,41.77594443,-87.61551758600001,"(41.77594443, -87.615517586)"
21658,31457,12309755,JE162355,03/08/2021 01:45:00 AM,057XX N ASHLAND AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,2012,20,40.0,77,08A,1164631.0,1937940.0,2021,03/15/2021 04:48:08 PM,41.985322251,-87.66986506399999,"(41.985322251, -87.669865064)"
32842,47859,12336827,JE195372,04/10/2021 10:00:00 AM,014XX N WESTERN AVE,0810,THEFT,OVER $500,STREET,False,False,1423,14,1.0,24,06,1160150.0,1909428.0,2021,04/17/2021 05:31:27 PM,41.907177709,-87.687136411,"(41.907177709, -87.687136411)"
3428,5174,12267403,JE110309,01/12/2021 05:32:00 AM,002XX N COLUMBUS DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,False,True,114,1,42.0,32,08B,1178301.0,1901977.0,2021,01/19/2021 03:53:51 PM,41.886337253,-87.620687893,"(41.886337253, -87.620687893)"
26102,37925,12320567,JE175554,03/21/2021 05:45:00 PM,068XX N KEDZIE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,2411,24,50.0,2,06,1153849.0,1945170.0,2021,03/28/2021 04:57:44 PM,42.005384054,-87.709326751,"(42.005384054, -87.709326751)"
34166,49795,12339932,JE199051,04/14/2021 10:10:00 AM,068XX S RACINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,724,7,16.0,68,08B,1169501.0,1859389.0,2021,04/21/2021 04:52:37 PM,41.769667632,-87.654239573,"(41.769667632, -87.654239573)"
19446,28173,12307900,JE160098,02/20/2021 12:01:00 AM,060XX N CALIFORNIA AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,False,False,2413,24,40.0,2,11,1156581.0,1939950.0,2021,03/09/2021 03:52:09 PM,41.991005081,-87.69941765600001,"(41.991005081, -87.699417656)"
13609,19781,12291912,JE140150,02/12/2021 06:56:00 PM,001XX N WABASH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,False,False,111,1,42.0,32,14,1176799.0,1900994.0,2021,02/19/2021 03:48:53 PM,41.883673944,-87.62623327200001,"(41.883673944, -87.626233272)"
2383,3580,12262084,JE104231,01/05/2021 10:00:00 AM,039XX S TALMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,921,9,12.0,58,14,1159378.0,1878251.0,2021,01/16/2021 03:49:23 PM,41.82164082,-87.690829432,"(41.82164082, -87.690829432)"
10338,15053,12282420,JE128084,01/31/2021 12:05:00 AM,002XX N LA SALLE ST,0460,BATTERY,SIMPLE,STREET,False,False,122,1,42.0,32,08B,1175099.0,1901781.0,2021,02/07/2021 03:46:17 PM,41.885871785,-87.63245214700001,"(41.885871785, -87.632452147)"
11793,17138,12288452,JE135766,02/06/2021 07:07:00 PM,021XX W FARWELL AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,2411,24,50.0,2,06,1160588.0,1945576.0,2021,02/13/2021 03:48:24 PM,42.006360672,-87.68452209700001,"(42.006360672, -87.684522097)"
24972,36303,12318323,JE172795,03/18/2021 05:00:00 PM,058XX N SPAULDING AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1711,17,39.0,13,11,1153318.0,1938648.0,2021,03/25/2021 04:55:39 PM,41.987497976,-87.71145461299999,"(41.987497976, -87.711454613)"
12184,17682,12288716,JE135483,02/07/2021 09:20:00 PM,053XX N LINCOLN AVE,0560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,2011,20,40.0,4,08A,1158453.0,1935579.0,2021,02/14/2021 03:47:33 PM,41.978972636,-87.69265222700001,"(41.978972636, -87.692652227)"
13737,19953,12292494,JE141041,02/13/2021 12:00:00 PM,059XX S WASHTENAW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,824,8,16.0,66,14,1159392.0,1865172.0,2021,02/20/2021 03:50:23 PM,41.785750062,-87.69113656799999,"(41.785750062, -87.691136568)"
25661,37285,12320057,JE174827,03/20/2021 11:55:00 PM,0000X E CHESTNUT ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,True,True,1833,18,2.0,8,08B,1176408.0,1906333.0,2021,03/27/2021 04:58:28 PM,41.898333269,-87.62750777,"(41.898333269, -87.62750777)"
6140,9175,12275784,JE119883,01/10/2021 12:01:00 AM,043XX N MONITOR AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1624,16,38.0,15,11,1136567.0,1928234.0,2021,01/26/2021 03:48:59 PM,41.959238259,-87.773316801,"(41.959238259, -87.773316801)"
5429,8111,12272228,JE115884,01/17/2021 10:37:00 PM,010XX W 87TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,613,6,21.0,71,04A,1170700.0,1847122.0,2021,01/24/2021 03:47:22 PM,41.735979311,-87.65020160200001,"(41.735979311, -87.650201602)"
1278,1891,12260429,JE102209,01/03/2021 02:00:00 PM,076XX N SHERIDAN RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2422,24,49.0,1,08B,1165461.0,1950812.0,2021,01/16/2021 03:49:23 PM,42.020625602,-87.666443648,"(42.020625602, -87.666443648)"
27627,40169,12325113,JE180828,03/26/2021 10:00:00 PM,072XX S WOOD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,735,7,17.0,67,08B,1165602.0,1856770.0,2021,04/02/2021 05:04:22 PM,41.762564332,-87.668605795,"(41.762564332, -87.668605795)"
17165,24869,12300224,JE150873,02/24/2021 11:45:00 AM,034XX W 63RD PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,823,8,23.0,66,14,1154605.0,1862296.0,2021,03/03/2021 03:47:36 PM,41.777954662,-87.708764732,"(41.777954662, -87.708764732)"
26334,38268,12324206,JE178998,03/22/2021 06:30:00 AM,022XX N ELSTON AVE,0810,THEFT,OVER $500,STREET,False,False,1432,14,32.0,22,06,1163641.0,1915132.0,2021,03/29/2021 04:53:03 PM,41.922756986,-87.67415142799999,"(41.922756986, -87.674151428)"
14876,21589,12295089,JE144401,02/17/2021 09:31:00 PM,039XX W ROOSEVELT RD,0554,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",GAS STATION,True,False,1132,11,24.0,29,08A,1150113.0,1894415.0,2021,02/24/2021 03:49:12 PM,41.866181995,-87.72439822,"(41.866181995, -87.72439822)"
29515,42934,12332409,JE189904,03/19/2021 07:00:00 PM,026XX N SAWYER AVE,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,APARTMENT,False,False,1412,14,35.0,22,10,1154028.0,1917345.0,2021,04/07/2021 05:10:28 PM,41.92902698,-87.70941367,"(41.92902698, -87.70941367)"
